added_at,track_name,artists,album,track_id,spotify_url
2020-03-25T01:14:21Z,Perfect Time,Roddy Ricch,Please Excuse Me for Being Antisocial,6kiIVIbmwEw6JvIZc7UG0E,https://open.spotify.com/track/6kiIVIbmwEw6JvIZc7UG0E
2020-03-25T00:54:51Z,Boom Boom Room,Roddy Ricch,Please Excuse Me for Being Antisocial,3aBL75wBGHJnskegE9jyhb,https://open.spotify.com/track/3aBL75wBGHJnskegE9jyhb
2020-03-25T00:38:36Z,Start Wit Me (feat. Gunna),"Roddy Ricch, Gunna",Please Excuse Me for Being Antisocial,7A20WnLkjtZU2d7hIB6Ziu,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
2020-03-22T19:19:58Z,2 Seater (feat. G-Eazy & Offset),"YBN Nahmir, G-Eazy, Offset",2 Seater (feat. G-Eazy & Offset),57lEOoQ3Szzy1xbF89JBWR,https://open.spotify.com/track/57lEOoQ3Szzy1xbF89JBWR
2020-03-22T17:09:10Z,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)","Childish Gambino, 21 Savage, Ink, Kadhja Bonet",3.15.20,011ZwIM48eD8ee2UBpG8nK,https://open.spotify.com/track/011ZwIM48eD8ee2UBpG8nK
2020-03-21T17:15:36Z,runaway,yung bench,WE LOVE YOU BENCH,1YMs9DtBKGJ0bTMQlwRUdn,https://open.spotify.com/track/1YMs9DtBKGJ0bTMQlwRUdn
2020-03-20T22:31:10Z,Tuo Llac,wrldofjuice,World of Juice,7bfAmmOng5VXpfiYT1OJRd,https://open.spotify.com/track/7bfAmmOng5VXpfiYT1OJRd
2020-03-20T22:20:41Z,Bittersweet,Lianne La Havas,Bittersweet,03Qlgtvz9ux6lmzlv40BEZ,https://open.spotify.com/track/03Qlgtvz9ux6lmzlv40BEZ
2020-03-20T14:42:02Z,PTSD,"G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper",PTSD,3jT2LKH0RSbQ8jIUNFzXm5,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
2020-03-17T04:00:22Z,Close Enough to Hurt,Rod Wave,Ghetto Gospel,1pqhytCY48GMMK4m9780aE,https://open.spotify.com/track/1pqhytCY48GMMK4m9780aE
2020-03-16T06:44:07Z,Woah,Yung Faygo,2900,6gUcq0ts5IyQQ01HzJqGjJ,https://open.spotify.com/track/6gUcq0ts5IyQQ01HzJqGjJ
2020-03-16T01:53:08Z,Cardigan,Don Toliver,Heaven Or Hell,0Li1OuXXfi7950ilZUFGkF,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
2020-03-14T16:27:35Z,Bean (Kobe) [feat. Chief Keef],"Lil Uzi Vert, Chief Keef",Eternal Atake (Deluxe) - LUV vs. The World 2,0IpnZchq8ek2A6pGEP2Qb1,https://open.spotify.com/track/0IpnZchq8ek2A6pGEP2Qb1
2020-03-14T02:29:31Z,The Blinding feat. Travis Scott,"J A Y E L E C T R O N I C A, Travis Scott",A Written Testimony,3tnJIJVNuVziKgY38J2HZP,https://open.spotify.com/track/3tnJIJVNuVziKgY38J2HZP
2020-03-13T13:04:13Z,That Way - Bonus Track,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2Fp9qq75MxGrtGUZ2oxk1Z,https://open.spotify.com/track/2Fp9qq75MxGrtGUZ2oxk1Z
2020-03-13T13:04:12Z,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2Zykq8p6eYzEDanzCwI3Yd,https://open.spotify.com/track/2Zykq8p6eYzEDanzCwI3Yd
2020-03-13T13:04:11Z,P2,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,1Xd0PWZV3LCEGzc7fkjTeu,https://open.spotify.com/track/1Xd0PWZV3LCEGzc7fkjTeu
2020-03-13T13:04:09Z,Secure The Bag,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2ACvbnhnf1iEuacfCMN1zH,https://open.spotify.com/track/2ACvbnhnf1iEuacfCMN1zH
2020-03-13T13:04:07Z,Venetia,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,5mhhIHsPJGqBMTRiFOtHDF,https://open.spotify.com/track/5mhhIHsPJGqBMTRiFOtHDF
2020-03-13T13:04:06Z,Urgency (feat. Syd),"Lil Uzi Vert, Syd",Eternal Atake (Deluxe) - LUV vs. The World 2,1wqD0VFqv9N8bmI2olRhJt,https://open.spotify.com/track/1wqD0VFqv9N8bmI2olRhJt
2020-03-13T13:04:05Z,Prices,"Lil Uzi Vert, WanMor",Eternal Atake (Deluxe) - LUV vs. The World 2,1Gz96Ab9xAEcaUTwaFx0ON,https://open.spotify.com/track/1Gz96Ab9xAEcaUTwaFx0ON
2020-03-13T13:04:04Z,Bust Me,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,51aVoX1BhBmsh6bqh61ilC,https://open.spotify.com/track/51aVoX1BhBmsh6bqh61ilC
2020-03-13T13:04:03Z,Chrome Heart Tags,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,0Ysvyr0E0v0ufJya13gYwJ,https://open.spotify.com/track/0Ysvyr0E0v0ufJya13gYwJ
2020-03-13T13:04:01Z,Bigger Than Life,"Lil Uzi Vert, WanMor",Eternal Atake (Deluxe) - LUV vs. The World 2,4WQk1ivjM6rphaG8ZDc962,https://open.spotify.com/track/4WQk1ivjM6rphaG8ZDc962
2020-03-13T13:04:00Z,Celebration Station,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,0a4kXlqLISIf5PSiyp0Zmp,https://open.spotify.com/track/0a4kXlqLISIf5PSiyp0Zmp
2020-03-13T13:03:59Z,I'm Sorry,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,6tYSLPxYbqotnpeNRJbEdK,https://open.spotify.com/track/6tYSLPxYbqotnpeNRJbEdK
2020-03-13T13:03:58Z,Homecoming,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,5jUvv1aTcNTgTOsAGlJojn,https://open.spotify.com/track/5jUvv1aTcNTgTOsAGlJojn
2020-03-13T13:03:54Z,You Better Move,Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,0jBTxdEGB0YvKvZhf3AEIU,https://open.spotify.com/track/0jBTxdEGB0YvKvZhf3AEIU
